date,minclimate,maxclimate,sunlightminute
2001-01-01,2.4,10.5,0
2001-01-02,8.1,11.9,48
2001-01-03,4.8,11.6,48
2001-01-04,7.9,12.3,192
2001-01-05,9.2,13.7,0
2001-01-06,6.1,10.7,336
2001-01-07,3,7.4,66
2001-01-08,1.8,8.9,342
2001-01-09,1,9.2,18
2001-01-10,4.3,13.3,60
2001-01-11,8.6,11,0
2001-01-12,6.9,8.7,0
2001-01-13,1.8,5.2,474
2001-01-14,-1.6,2.9,378
2001-01-15,-2.3,1.3,0
2001-01-16,0.5,6.9,132
2001-01-17,1.8,6.3,6
2001-01-18,1.9,6.6,0
2001-01-19,2.9,5.6,0
2001-01-20,1.4,5.3,108
2001-01-21,1.6,10.7,0
2001-01-22,6.9,10.9,0
2001-01-23,7.4,13.5,0
2001-01-24,8.9,13,336
2001-01-25,6.1,10,174
2001-01-26,4.2,7.9,12
2001-01-27,3.7,10,300
2001-01-28,5.6,8.5,144
2001-01-29,0.7,7.6,318
2001-01-30,-2.6,7.4,6
2001-01-31,5.1,10.3,6
2001-02-01,0.9,6.6,414
2001-02-02,2.6,10.1,54
2001-02-03,6.3,12.1,0
2001-02-04,10.3,13.8,66
2001-02-05,9.3,12.9,0
2001-02-06,10.1,12.9,0
2001-02-07,7.8,12.1,0
2001-02-08,8.3,12.6,138
2001-02-09,3.8,8.6,228
2001-02-10,1,11.3,0
2001-02-11,8.8,16.6,372
2001-02-12,8,15,144
2001-02-13,5.9,11.8,564
2001-02-14,2.4,10.1,558
2001-02-15,-0.5,11.6,540
2001-02-16,0.8,10.3,342
2001-02-17,3.7,8.7,96
2001-02-18,4.4,6.3,6
2001-02-19,-1.4,7,288
2001-02-20,-1.5,9.2,78
2001-02-21,-1.6,11.2,252
2001-02-22,6.7,12.9,84
2001-02-23,6.1,11.4,78
2001-02-24,0.3,7.1,336
2001-02-25,-3.9,4.1,180
2001-02-26,-1.9,6.9,30
2001-02-27,0.5,7.7,168
2001-02-28,0.4,7.5,120
2001-03-01,-1,7,300
2001-03-02,-1.2,6.2,0
2001-03-03,2,8,0
2001-03-04,3.8,12.4,294
2001-03-05,-0.8,10.2,480
2001-03-06,5.5,17.5,204
2001-03-07,11.2,16.6,120
2001-03-08,9,13.7,234
2001-03-09,9.5,13.5,30
2001-03-10,10,14.1,0
2001-03-11,12.1,16.8,54
2001-03-12,7.8,13.3,318
2001-03-13,5.8,13.1,30
2001-03-14,7.9,11.9,12
2001-03-15,10.8,15.8,66
2001-03-16,7.9,15.8,72
2001-03-17,4.6,13.7,192
2001-03-18,8.8,14.2,90
2001-03-19,5,8.3,0
2001-03-20,6.3,14.7,0
2001-03-21,12.3,15.3,78
2001-03-22,11.4,16.3,156
2001-03-23,11.9,16.7,336
2001-03-24,10.5,18,48
2001-03-25,7.7,10.3,0
2001-03-26,6.1,11.8,18
2001-03-27,7.1,15.1,234
2001-03-28,7.4,12.4,54
2001-03-29,6,13.3,245
2001-03-30,3.5,14.9,420
2001-03-31,9.3,15.6,
2001-04-01,4.8,19.7,678
2001-04-02,9.9,20.9,390
2001-04-03,9.7,16.1,252
2001-04-04,6.9,13.6,384
2001-04-05,4.4,12.3,12
2001-04-06,11,14.1,0
2001-04-07,5.6,13.9,288
2001-04-08,8.2,14,186
2001-04-09,9.7,14.9,42
2001-04-10,8.7,13.6,126
2001-04-11,6.5,14,426
2001-04-12,3.3,13.2,414
2001-04-13,6.3,13.1,96
2001-04-14,0.8,11.3,690
2001-04-15,6.3,14.2,0
2001-04-16,4.6,13.3,108
2001-04-17,1.8,13,486
2001-04-18,5.8,13.5,84
2001-04-19,-0.4,9.4,330
2001-04-20,0.4,10.6,432
2001-04-21,1.4,11.4,378
2001-04-22,2.6,11.8,18
2001-04-23,4.8,13.3,138
2001-04-24,7.8,16.8,120
2001-04-25,7.8,14.8,354
2001-04-26,7.4,15.9,456
2001-04-27,10,15.3,84
2001-04-28,10.2,12.4,0
2001-04-29,7.2,15.9,252
2001-04-30,7.9,11.8,0
2001-05-01,8.2,15.7,276
2001-05-02,6.2,19.2,210
2001-05-03,10,11.5,0
2001-05-04,9,11.5,0
2001-05-05,5.1,14.5,498
2001-05-06,5.1,13.5,624
2001-05-07,6.4,16.4,120
2001-05-08,10.5,17.7,84
2001-05-09,12.4,20.1,204
2001-05-10,10,18.7,0
2001-05-11,8.9,24.5,552
2001-05-12,10.9,26.7,840
2001-05-13,14.5,18.3,402
2001-05-14,7.3,20.7,468
2001-05-15,11.5,19.3,198
2001-05-16,12.3,18.7,168
2001-05-17,11.2,17.2,264
2001-05-18,5.1,18.6,426
2001-05-19,5.1,19.2,846
2001-05-20,8.7,21.5,834
2001-05-21,9.7,24,852
2001-05-22,12.1,25.4,816
2001-05-23,12.9,24.1,816
2001-05-24,10.2,26.2,762
2001-05-25,12.8,22.5,438
2001-05-26,11.1,22.5,245
2001-05-27,10.8,25.7,750
2001-05-28,12.1,30.7,870
2001-05-29,13.4,29.9,876
2001-05-30,14.7,29,810
2001-05-31,12,22.2,720
2001-06-01,8.2,21.6,726
2001-06-02,10.4,22.2,348
2001-06-03,9,19.5,798
2001-06-04,5.3,23.5,906
2001-06-05,6.9,24.8,474
2001-06-06,12.9,21.5,222
2001-06-07,11.7,19.6,180
2001-06-08,10.8,15.5,0
2001-06-09,9.7,18.6,84
2001-06-10,7.7,21,714
2001-06-11,5.6,22.6,852
2001-06-12,7.9,25,510
2001-06-13,11.5,23.2,576
2001-06-14,8.1,23.8,378
2001-06-15,12.5,20.8,150
2001-06-16,14,20.4,312
2001-06-17,13.5,21.7,354
2001-06-18,8.7,21.7,342
2001-06-19,9.8,23.6,
2001-06-20,9.3,28.4,906
2001-06-21,12.6,28.2,906
2001-06-22,11.2,28.1,906
2001-06-23,12.2,31.4,756
