date,minclimate,maxclimate,sunlightminute,,,
2000-01-01,25,29.2,0,,,
2000-01-02,22.6,29.9,0,,,
2000-01-03,24.5,29,89,,,
2000-01-04,25.2,30,0,,,
2000-01-05,25.3,30.5,10,,,
2000-01-06,27.6,31,0,,,
2000-01-07,26.4,31,0,,,
2000-01-08,26,31.5,0,,,
2000-01-09,26.5,29.1,71,,,
2000-01-10,24.7,31,0,,,
2000-01-11,25.7,31.6,0,,,
2000-01-12,25,31.5,20,,,
2000-01-13,24.4,31,0,,,
2000-01-14,27.2,31,0,,,
2000-01-15,24.4,30.4,0,,,
2000-01-16,27.6,30.3,0,,,
2000-01-17,26.2,30.6,0,,,
2000-01-18,28,30.2,0,,,
2000-01-19,,,0,,,
2000-01-20,28.2,30.5,0,,,
2000-01-21,28,31.1,0,,,
2000-01-22,27.5,30.5,0,,,
2000-01-23,,,0,,,
2000-01-24,27.6,31.4,0,,,
2000-01-25,27.7,31,0,,,
2000-01-26,26.4,30.6,10,,,
2000-01-27,25.1,32,8,,,
2000-01-28,27.4,32,79,,,
2000-01-29,25,31.6,0,,,
2000-01-30,25,31.8,0,,,
2000-01-31,26.2,30,109,,,
2000-02-01,25.3,31.1,71,,,
2000-02-02,27.9,31.3,8,,,
2000-02-03,26.6,31.6,79,,,
2000-02-04,25.5,30.9,71,,,
2000-02-05,28,31.5,61,,,
2000-02-06,25.9,31.4,8,,,
2000-02-07,27,31.2,3,,,
2000-02-08,26,31.2,28,,,
2000-02-09,25.6,31.3,0,,,
2000-02-10,26.1,31.7,15,,,
2000-02-11,26.7,31.5,99,,,
2000-02-12,24.5,27.7,20,,,
2000-02-13,25.4,30.9,246,,,
2000-02-14,22.2,30.4,0,,,
2000-02-15,25.8,31.5,0,,,
2000-02-16,27,31.5,160,,,
2000-02-17,0,30,122,,,
2000-02-18,25.1,29.6,640,,,
2000-02-19,24,30.6,58,,,
2000-02-20,24.5,31.1,8,,,
2000-02-21,26.7,31.6,13,,,
2000-02-22,26.4,30.9,119,,,
2000-02-23,24.5,30.2,251,,,
2000-02-24,26.9,31.5,3,,,
2000-02-25,26.1,31.4,0,,,
2000-02-26,27.4,29.9,8,,,
2000-02-27,27.1,31.7,25,,,
2000-02-28,26.1,31.2,0,,,
2000-02-29,27,31.3,10,,,
2000-03-01,26,31.6,0,,,
2000-03-02,27.6,32.2,41,,,
2000-03-03,24,30.9,89,,,
2000-03-04,24.5,30.7,0,,,
2000-03-05,27,31.4,0,,,
2000-03-06,27,31.1,180,,,
2000-03-07,23.7,30.7,71,,,
2000-03-08,25.6,30.3,325,,,Temps observé help
2000-03-09,27.5,31.1,8,,,
2000-03-10,27.3,30.7,0,,,
2000-03-11,27.1,30.5,170,,,
2000-03-12,24.4,31,15,,,
2000-03-13,25.4,31.4,0,,,+
2000-03-14,26.4,31.6,56,,,
2000-03-15,25,31.5,30,,,
2000-03-16,25.4,30.8,8,,,
2000-03-17,26,30.5,3,,,
2000-03-18,25.1,31.1,0,,,
2000-03-19,25.9,31.2,10,,,
2000-03-20,25.3,28.9,61,,,
2000-03-21,23.5,30.1,36,,,
2000-03-22,25.3,30.2,0,,,
2000-03-23,25,30.6,51,,,12h
2000-03-24,25,31.6,180,,,6h
2000-03-25,24,27.2,1250,,,
2000-03-26,22.6,30.2,18,,,9h +
2000-03-27,26,31.4,10,,,18h
2000-03-28,27.2,31,109,,,9h
2000-03-29,23.5,29.9,132,,,
2000-03-30,25.4,31.5,0,,,
2000-03-31,23.6,29.2,170,,,3h
2000-04-01,29.2,31,0,,,+
2000-04-02,27,30.6,0,,,
2000-04-03,25.6,31,0,,,
2000-04-04,25.5,29.5,71,,,
2000-04-05,23.2,30,521,,,
2000-04-06,21.4,29.8,10,,,
2000-04-07,26.9,31,0,,,
2000-04-08,24.5,31,36,,,
2000-04-09,24.8,31.5,8,,,
2000-04-10,27.3,31.5,10,,,
2000-04-11,27.1,31.1,10,,,
