date,minclimate,maxclimate,sunlightminute,,,,
2021-01-01,27.1,32.3,0,,,,
2021-01-02,25.9,32.1,0,,,,
2021-01-03,27.4,32.4,0,,,,
2021-01-04,28.1,33,0,,,,
2021-01-05,27.3,33,0,,,,
2021-01-06,26.8,32.6,174,,,,
2021-01-07,25.8,30.6,0,,,,
2021-01-08,27.3,32.4,15,,,,
2021-01-09,27.1,,5,,,,
2021-01-10,28,33.1,5,,,,
2021-01-11,27.5,32.4,36,,,,
2021-01-12,26.5,31.9,6,,,,
2021-01-13,26.4,32.1,1,,,,
2021-01-14,27,32,11,,,,
2021-01-15,25.6,32,24,,,,
2021-01-16,27.5,32,4,,,,
2021-01-17,27.2,32.1,0,,,,
2021-01-18,28.5,34.2,51,,,,
2021-01-19,25.2,32.2,2,,,,
2021-01-20,27,32.1,15,,,,
2021-01-21,25.5,31.9,45,,,,
2021-01-22,24.7,31.7,19,,,,
2021-01-23,25.2,31.5,15,,,,
2021-01-24,24.8,30,16,,,,
2021-01-25,25.4,32,2,,,,
2021-01-26,25,30.2,39,,,,
2021-01-27,24.7,30.6,6,,,,
2021-01-28,25.8,31,0,,,,
2021-01-29,27.5,31.5,0,,,,
2021-01-30,27.7,31.3,0,,,,
2021-01-31,27.9,,0,,,,
2021-02-01,28,,9990,,,,
2021-02-02,28.4,,9990,,,,
2021-02-03,28.4,,0,,,,
2021-02-04,28,,14,,,,
2021-02-05,21.6,,60,,,,
2021-02-06,24.9,,20,,,,
2021-02-07,24.9,,91,,,,
2021-02-08,25.5,,0,,,,
2021-02-09,23,,408,,,,
2021-02-10,25,28,40,,,,
2021-02-11,20.3,30.5,9990,,,,
2021-02-12,26,32,76,,,,
2021-02-13,26,31.5,0,,,,
2021-02-14,,30.4,0,,,,
2021-02-15,26.2,31.5,26,,,,
2021-02-16,26.1,30.2,8,,,,
2021-02-17,21.7,32,65,,,,
2021-02-18,25.3,30.5,125,,,,
2021-02-19,24.6,31.5,96,,,,
2021-02-20,24.3,28.5,1,,,,
2021-02-21,25,29.9,243,,,,
2021-02-22,24.5,28.9,270,,,,
2021-02-23,23.4,30.2,0,,,,
2021-02-24,24,31.5,159,,,,
2021-02-25,28.5,30,13,,,,
2021-02-26,25.7,31.4,2,,,,
2021-02-27,27.2,,512,,,,
2021-02-28,25,31.6,0,,,,
2021-03-01,21.8,31.5,0,,,,
2021-03-02,29.3,31.9,30,,,,
2021-03-03,28.5,32.1,1,,,,
2021-03-04,27.5,31.9,0,,,,
2021-03-05,,32,69,,,,
2021-03-06,26.6,28.1,0,,,,
2021-03-07,28.6,30.9,42,,,,
2021-03-08,26.7,31.5,0,,,,
2021-03-09,21.2,31.1,0,,,,
2021-03-10,31.2,31.5,0,,,,
2021-03-11,29.6,31.3,0,,,,
2021-03-12,27.5,32.2,0,,,,
2021-03-13,27.7,31.3,0,,,,
2021-03-14,28,32.5,0,,,,
2021-03-15,27.9,31.9,67,,,,
2021-03-16,,31.9,164,,,,
2021-03-17,25.9,28.5,8,,,,
2021-03-18,24.8,28.5,0,,,,
2021-03-19,25.4,31.3,230,,,,
2021-03-20,24.3,33.3,0,,,,
2021-03-21,27.8,32.7,0,,,,
2021-03-22,27.6,32.5,42,,,,
2021-03-23,26.3,31.8,15,,,,
2021-03-24,26.6,32.4,10,,,,
2021-03-25,26.4,31.7,266,,,,
2021-03-26,24.9,31.6,0,,,,
2021-03-27,27.9,33,0,,,,
2021-03-28,28.2,32.9,28,,,,
2021-03-29,32.4,32.5,6,,,,
2021-03-30,27,32.8,27,,,,
2021-03-31,27,31.6,0,,,,
2021-04-01,,33.2,0,,,,
2021-04-02,31.1,,102,,,,
2021-04-03,21.3,32.2,9,,,,
2021-04-04,21.6,32.2,21,,,,
2021-04-05,19.5,32.3,2,,,,
2021-04-06,27.5,31.9,9,,,,
2021-04-07,27.5,32.2,122,,,,
2021-04-08,25.5,32.2,75,,,,
2021-04-09,25.1,32,291,,,,
2021-04-10,26.4,32,386,,,,
2021-04-11,24.9,29.9,58,,,,
2021-04-12,25.9,32.6,0,,,,
2021-04-13,27.2,32,0,,,,
2021-04-14,26,31.8,0,,,,
2021-04-15,27.8,32.2,12,,,,
2021-04-16,25.7,31.5,367,,,,
2021-04-17,25.2,31.5,9990,,,,
2021-04-18,28,31.3,0,,,,
2021-04-19,27.8,32.4,0,,,,
2021-04-20,26.8,,61,,,,
2021-04-21,26.9,30,31,,,,
2021-04-22,25.6,,16,,,,
2021-04-23,25.1,31.5,1254,,,,
2021-04-24,25.5,28,81,,,,
2021-04-25,24.4,30.5,68,,,,
2021-04-26,25.5,30.6,9990,,,,
2021-04-27,26.7,31.9,980,,,,
2021-04-28,24.5,30.2,169,,,,
2021-04-29,22.7,31.2,23,,,,
2021-04-30,25.2,32.1,0,,,,
2021-05-01,,30.9,1,,,,
2021-05-02,26.7,30.6,65,,,,
2021-05-03,25.1,30.6,8,,,,
2021-05-04,26,30.4,9990,,,,
2021-05-05,26,33,0,,,,
2021-05-06,,32.5,14,,,,
2021-05-07,27.5,32.5,9990,,,,
2021-05-08,27.5,33.3,32,,,,
2021-05-09,26.1,,0,,,,
2021-05-10,,,0,,,,
2021-05-11,,,0,,,,
2021-05-12,,33,0,,,,
2021-05-13,28,,0,,,,
2021-05-14,27.6,32.6,9990,,,,
2021-05-15,29.5,32.9,16,,,,
2021-05-16,33,33,13,,,,
2021-05-17,25.7,33,100,,,,
2021-05-18,26,32,17,,,,
2021-05-19,26.1,32.7,78,,,,
2021-05-20,28.6,32.9,12,,,,
2021-05-21,28.8,32.9,47,,,,
2021-05-22,26.9,32.8,12,,,,
2021-05-23,29.5,32.8,9990,,,,
2021-05-24,30.1,33,9990,,,,
2021-05-25,,29.7,0,,,,
2021-05-26,27.2,32.2,130,,,,
2021-05-27,24.9,32.7,9990,,,,
2021-05-28,31.9,32.8,136,,,,
2021-05-29,28.4,31.1,16,,,,
2021-05-30,31.2,31.8,54,,,,
2021-05-31,30.3,32.4,0,,,,
2021-06-01,,32.7,0,,,,
2021-06-02,28.1,32.3,0,,,,
2021-06-03,28.2,32.4,16,,,,
2021-06-04,28.1,32.2,14,,,,
2021-06-05,27.4,,0,,,,
2021-06-06,26.6,32,0,,,,
2021-06-07,27.1,32.5,0,,,,
2021-06-08,27.2,31.9,0,,,,
2021-06-09,27.5,31.5,0,,,,
2021-06-10,27.6,32,93,,,,
2021-06-11,26,32.4,0,,,,
2021-06-12,27.5,32.1,44,,,,
2021-06-13,26.4,29.1,29,,,,
2021-06-14,29.5,32.1,76,,,,
2021-06-15,27.1,32.2,48,,,,
2021-06-16,26.9,32.1,4,,,,
2021-06-17,27.6,,0,,,,
2021-06-18,27.8,32,9990,,,,
2021-06-19,,32.4,13,,,,
2021-06-20,25.6,29.9,29,,,,
2021-06-21,26.5,31.5,53,,,,
2021-06-22,26.9,32.7,224,,,,
2021-06-23,28.7,30,385,,,,
2021-06-24,26.8,,507,,,,
2021-06-25,23.9,30.1,0,,,,
2021-06-26,27.5,29.9,0,,,,
2021-06-27,,31.1,2,,,,
2021-06-28,,32,52,,,,
2021-06-29,,31.8,48,,,,
2021-06-30,25.5,32,0,,,,
2021-07-01,,32.7,0,,,,
2021-07-02,27.4,32.1,0,,,,
2021-07-03,26,32,0,,,,
2021-07-04,27.3,31.5,7,,,,
2021-07-05,27.7,32.5,9990,,,,
2021-07-06,27.8,32.4,0,,,,
2021-07-07,28.4,32.6,0,,,,
2021-07-08,28.3,32.3,9990,,,,
2021-07-09,,32.5,0,,,,
2021-07-10,28.5,31.9,163,,,,
2021-07-11,26,31.3,27,,,,
2021-07-12,29.9,32.2,1,,,,
2021-07-13,29.6,31.5,0,,,,
2021-07-14,26.8,31.7,0,,,,
2021-07-15,28.4,32.6,15,,,,
2021-07-16,28.7,32.2,214,,,,
2021-07-17,25.4,31,247,,,,
2021-07-18,26,31.2,6,,,,
2021-07-19,28.5,32.9,412,,,,
2021-07-20,23.9,30.1,15,,,,
2021-07-21,25.3,31.9,310,,,,
2021-07-22,24.6,30.5,0,,,,
2021-07-23,26.1,31.8,65,,,,
2021-07-24,29.1,30.6,9,,,,
2021-07-25,29.9,31.1,0,,,,
2021-07-26,27.7,31.8,56,,,,
2021-07-27,26,32.3,47,,,,
2021-07-28,26.1,31.9,33,,,,
2021-07-29,28.4,31.1,367,,,,
2021-07-30,28.5,30.8,318,,,,
2021-07-31,24.3,30.9,0,,,,
2021-08-01,,,596,,,,
2021-08-02,29.1,31.1,207,,,,
2021-08-03,26.5,30.5,303,,,,
2021-08-04,24.8,29.6,1,,,,
2021-08-05,27.1,,48,,,,
2021-08-06,25.1,32.7,0,,,,
2021-08-07,,31.4,0,,,,
2021-08-08,30.3,29.9,257,,,,
2021-08-09,30.4,28.7,6,,,,
2021-08-10,24.9,33.6,0,,,,
2021-08-11,27.8,31.7,57,,,,
2021-08-12,25.5,31.5,57,,,,
2021-08-13,29.5,28.6,255,,,,
2021-08-14,25.3,30.6,133,,,,
2021-08-15,24.6,30.7,5,,,,
2021-08-16,26.4,31.4,12,,,,
2021-08-17,26.9,31.1,10,,,,
2021-08-18,26.4,31.4,21,,,,
2021-08-19,27.2,32.1,115,,,,
2021-08-20,24.5,30.7,46,,,,
2021-08-21,30.6,32.5,0,,,,
2021-08-22,29.4,32.8,38,,,,
2021-08-23,25.4,31.5,9990,,,,
2021-08-24,26,31.4,7,,,,
2021-08-25,26.1,31.9,0,,,,
2021-08-26,29.9,31.9,195,,,,
2021-08-27,25,28.9,128,,,,
2021-08-28,26.4,31,878,,,,
2021-08-29,23.7,31.1,30,,,,
2021-08-30,24.1,31.6,0,,,,
2021-08-31,29.2,31.7,0,,,,
2021-09-01,,30.6,904,,,,
2021-09-02,26.5,29.7,143,,,,
2021-09-03,25.6,30.9,0,,,,
2021-09-04,,31.9,0,,,,
2021-09-05,27,31.6,101,,,,
2021-09-06,26,31.6,2,,,,
2021-09-07,28.6,32.2,0,,,,
2021-09-08,26,32.2,9990,,,,
2021-09-09,27.8,32.2,0,,,,
2021-09-10,27.9,32.2,2,,,,
2021-09-11,28.7,32.4,17,,,,
2021-09-12,31.2,32,94,,,,
2021-09-13,26.2,31.4,0,,,,
2021-09-14,28,31.9,27,,,,
2021-09-15,25.9,31.5,6,,,,
2021-09-16,26.3,32.4,10,,,,
2021-09-17,,32.1,82,,,,
2021-09-18,25.5,32.5,13,,,,
2021-09-19,27.1,32.3,44,,,,
2021-09-20,25.5,31.5,1,,,,
2021-09-21,29,31.7,10,,,,
2021-09-22,,32.3,16,,,,
2021-09-23,26.5,32.4,5,,,,
2021-09-24,26.9,32.4,0,,,,
2021-09-25,27.5,32,0,,,,
2021-09-26,30.9,31.8,0,,,,
2021-09-27,,32.8,11,,,,
2021-09-28,27.3,32.8,0,,,,
2021-09-29,28.7,32.4,22,,,,
2021-09-30,25.5,32,0,,,,
