date,minclimate,maxclimate,sunlightminute
2021-01-01,-3.3,4.3,0
2021-01-02,-5.2,5.8,0
2021-01-03,-1.6,3.6,0.4
2021-01-04,0.4,2.7,2.2
2021-01-05,1.3,3.3,0
2021-01-06,1.4,3.5,0
2021-01-07,-2.3,3.9,0
2021-01-08,-2.2,3.9,0
2021-01-09,-2.5,2.5,0
2021-01-10,-1.6,5.2,0
2021-01-11,-3.3,6.8,0
2021-01-12,3.7,10.9,0
2021-01-13,9,10.5,0
2021-01-14,8.6,12,1.2
2021-01-15,3.1,7.2,0
2021-01-16,-1.7,10.3,4.6
2021-01-17,4.7,10.1,0
2021-01-18,-1,8.4,0
2021-01-19,3.8,8.6,0
2021-01-20,6.5,11.9,5.4
2021-01-21,7,11.2,16.9
2021-01-22,3.5,10.2,0.8
2021-01-23,3.6,7.3,5
2021-01-24,-1.2,9,0.8
2021-01-25,0.2,7.2,0
2021-01-26,-3.6,7.1,2.8
2021-01-27,2.6,12.1,6.6
2021-01-28,11.1,13.7,4.8
2021-01-29,10.3,13.5,6.4
2021-01-30,9.3,12.4,4.2
2021-01-31,9.2,11.7,4.8
2021-02-01,10.1,13.9,8.2
2021-02-02,9.8,14.6,4.4
2021-02-03,9.7,13.1,1.6
2021-02-04,7.1,13,1
2021-02-05,8.2,12.2,0.8
2021-02-06,7.3,9,2.8
2021-02-07,2.7,7.8,0
2021-02-08,1,4.2,0
2021-02-09,1.5,3.3,8.3
2021-02-10,-2.2,-0.1,0.4
2021-02-11,-4.9,-0.1,0
2021-02-12,-2.4,1.7,0
2021-02-13,-4.3,1.5,0
2021-02-14,-3,8.2,0
2021-02-15,5.5,13.6,0.2
2021-02-16,5.8,12.7,1
2021-02-17,9,15.1,0
2021-02-18,8.3,11.9,6
2021-02-19,5.2,15.9,0
2021-02-20,10.1,19.1,0
2021-02-21,10.7,15.9,0
2021-02-22,10,13.2,1.8
2021-02-23,7.2,17.9,0
2021-02-24,8.2,19,0.2
2021-02-25,7.3,13.2,0
2021-02-26,5.3,13.1,0
2021-02-27,1.1,12.2,0
2021-02-28,1.1,11.4,0
2021-03-01,1.1,16.6,0
2021-03-02,3,15.7,0
2021-03-03,7.4,16.5,0.2
2021-03-04,6.9,13.4,0
2021-03-05,4.7,6.4,0
2021-03-06,-1,10,0
2021-03-07,-1.5,10.8,0
2021-03-08,-0.9,8.2,0
2021-03-09,-3,11.4,0
2021-03-10,1,12.4,2.8
2021-03-11,8.4,14.8,1.2
2021-03-12,5.7,12.4,3.6
2021-03-13,6.5,12.7,1.2
2021-03-14,3.5,12.8,0
2021-03-15,7,12.5,0
2021-03-16,5.3,14.7,0
2021-03-17,5.9,12.6,0
2021-03-18,2.8,10.3,3
2021-03-19,5.7,10.4,0
2021-03-20,0.2,11.8,0
2021-03-21,1,11.5,0
2021-03-22,-0.2,11.5,0
2021-03-23,-1.4,15.1,0
2021-03-24,-0.3,15.6,0
2021-03-25,7.2,15.4,0
2021-03-26,6.6,15.1,5.2
2021-03-27,4,14.2,0
2021-03-28,0.5,18.2,0
2021-03-29,1.7,23.2,0
2021-03-30,4.4,24.8,0
2021-03-31,6.7,23.9,0
2021-04-01,7.5,25.8,0
2021-04-02,9.9,17.8,0
2021-04-03,3.2,12.6,0
2021-04-04,1.9,15.2,0
2021-04-05,2.4,12.5,0
2021-04-06,-1.3,9.7,0
2021-04-07,-1,10.9,0
2021-04-08,-1.1,15.1,0
2021-04-09,1.7,18.8,0.2
2021-04-10,9.7,15.3,11.3
2021-04-11,4,10.3,4.2
2021-04-12,-1.2,12.3,0
2021-04-13,0,12.2,0
2021-04-14,0.2,13.3,0
2021-04-15,0.8,12.2,0
2021-04-16,0.9,12.8,0
2021-04-17,4,14.5,0
2021-04-18,0.9,15,0
2021-04-19,2.3,18.5,0
2021-04-20,7,19.2,0
2021-04-21,4.5,20.1,0
2021-04-22,6.6,20.6,0
2021-04-23,7.1,22.2,0
2021-04-24,8.7,23.6,0
2021-04-25,7,21.4,0
2021-04-26,8.2,19.4,0
2021-04-27,4.8,20.4,0
2021-04-28,3.8,17.1,0
2021-04-29,4.1,15.1,0
2021-04-30,5.2,17.3,0.2
2021-05-01,3.8,15.9,0
2021-05-02,2.5,15.4,0
2021-05-03,1.2,17.3,0
2021-05-04,9.3,12.4,6.4
2021-05-05,3.9,14.2,9.9
2021-05-06,7.9,16.8,5.2
2021-05-07,5.3,15.7,0
2021-05-08,12.6,23.6,0.2
2021-05-09,10.9,24.3,5.1
2021-05-10,11.5,18.1,0.2
2021-05-11,9.5,16.9,0.8
2021-05-12,7.9,17.1,5.8
2021-05-13,8,16.9,6.2
2021-05-14,6.7,15.7,2.2
2021-05-15,9.6,17,0.4
2021-05-16,10.5,16.7,3.6
2021-05-17,10.5,16.8,0.4
2021-05-18,8.8,17.7,0.4
2021-05-19,9.5,18.3,5.2
2021-05-20,7.1,18.4,0
2021-05-21,11,17.6,0.2
2021-05-22,8.6,16.5,5.8
2021-05-23,7.4,18.1,3.2
2021-05-24,8.4,15.1,4.2
2021-05-25,7.1,17.3,0
2021-05-26,11.3,15.6,0.4
2021-05-27,11.8,19.3,0
2021-05-28,9.1,23.1,0
2021-05-29,12.4,23,0
2021-05-30,12.2,23.6,0
2021-05-31,11,25.6,0
2021-06-01,11.7,29.7,0.4
2021-06-02,18.1,23.5,1.6
2021-06-03,12.3,22.3,8.7
2021-06-04,12.3,16.3,7.3
2021-06-05,7.9,22,0
2021-06-06,10.2,23.2,0
2021-06-07,12.5,25.2,0.2
2021-06-08,12.4,27.3,0
2021-06-09,13.6,28.1,0
2021-06-10,13,26.3,0
2021-06-11,15.3,28.5,0
2021-06-12,15.7,27.5,0
2021-06-13,14.8,29.1,0
2021-06-14,14.6,30.3,0
2021-06-15,14.6,30,0
2021-06-16,16.6,31.6,1.8
2021-06-17,18.6,26.5,18.6
2021-06-18,16.4,20.7,0
2021-06-19,15.4,23.1,6.7
2021-06-20,14.6,23.2,9.2
2021-06-21,13.2,22.3,0.6
2021-06-22,14.1,21.3,10.2
2021-06-23,12.6,17.6,0
2021-06-24,10.5,22.6,0
2021-06-25,11.3,21.3,1.4
2021-06-26,13.8,21.4,0
2021-06-27,14.7,20.2,2.8
2021-06-28,10.6,19.8,6.6
2021-06-29,9.1,22.1,0
2021-06-30,13.2,21.7,0.2
2021-07-01,12.7,26.2,0
2021-07-02,14.3,24.1,0.6
2021-07-03,15.6,24.3,0.4
2021-07-04,16.3,21.5,15.8
2021-07-05,15.1,20.8,0.8
2021-07-06,13.6,21.6,0
2021-07-07,13,21.9,0
2021-07-08,13.6,21.3,0
2021-07-09,12.2,19.2,0.4
2021-07-10,14,20.1,4
2021-07-11,13.8,23.4,0
2021-07-12,15.7,20.6,9.1
2021-07-13,13.6,23,0.4
2021-07-14,15.5,23.4,0
2021-07-15,12.9,25.5,0
2021-07-16,14.1,24.8,0
2021-07-17,12.4,24.7,0
2021-07-18,16.3,30.1,0
2021-07-19,17.6,31.4,0
2021-07-20,15.4,30.6,0
2021-07-21,15.2,30.8,0
2021-07-22,16.7,31.1,0
2021-07-23,16.3,31.2,0
2021-07-24,16.6,24.1,1.8
2021-07-25,16.5,24.2,2.6
2021-07-26,15.1,25.2,0.6
2021-07-27,16.5,22.3,6
2021-07-28,13.4,23.3,0
2021-07-29,12.7,23.9,0
2021-07-30,14.8,22.5,0
2021-07-31,13.6,22.9,0.4
2021-08-01,13.6,23,0
2021-08-02,13.8,23.2,0
2021-08-03,14.5,19.1,9.9
2021-08-04,14.6,19.8,12.4
2021-08-05,14.5,21.1,2
2021-08-06,15,22.1,1
2021-08-07,14.3,22,0.4
2021-08-08,13.5,22.1,0
2021-08-09,13.9,23,0
2021-08-10,13.1,25,0.2
2021-08-11,12.7,27.3,0
2021-08-12,14.2,28.9,0
2021-08-13,15.2,28.1,0
2021-08-14,13,30.4,0
2021-08-15,16.5,25,1
2021-08-16,15.8,23.1,0
2021-08-17,13.1,20.6,0
2021-08-18,15.2,18.1,0
2021-08-19,15.1,22.5,0
2021-08-20,13,25.6,0
2021-08-21,12.5,22.8,2.4
2021-08-22,14.8,23.6,0.2
2021-08-23,11.7,24.7,0
2021-08-24,14.1,25.1,0
2021-08-25,12.3,26,0
2021-08-26,13.2,22.8,0
2021-08-27,9.1,23,0
2021-08-28,10.8,23.3,0
2021-08-29,11.9,23.1,0
2021-08-30,15,23.3,0.2
2021-08-31,15,23.4,0
2021-09-01,13.2,24.9,0
2021-09-02,12.3,27.6,0.2
2021-09-03,16,27.6,0
2021-09-04,17.6,26.8,2.8
2021-09-05,14.6,29.9,0
2021-09-06,15.9,31.6,0
2021-09-07,14.9,32.3,0
2021-09-08,19.6,27.8,2
2021-09-09,17.7,26.1,0.2
2021-09-10,17.9,25.7,1.2
2021-09-11,14.7,24,0
2021-09-12,10.7,24.1,0.2
2021-09-13,11.5,27.5,0
2021-09-14,19.4,25.5,0
2021-09-15,16.7,24.1,1
2021-09-16,14.1,23.2,0.2
2021-09-17,10.8,22.7,0.6
2021-09-18,13.8,22.7,0.2
2021-09-19,14.5,22,0.4
2021-09-20,11.3,21.3,0
2021-09-21,12.2,21.5,0
2021-09-22,8.5,22.5,0.2
2021-09-23,7.5,23.7,0
2021-09-24,8,25.1,0.2
2021-09-25,9.9,20.7,2.6
2021-09-26,16.7,23.8,1.4
2021-09-27,16.1,21.8,3.4
2021-09-28,10.2,20.7,1
2021-09-29,12.2,19.4,0.2
2021-09-30,4.4,20.2,0
