date,minclimate,maxclimate,sunlightminute,,,
1980-01-01,0,5,30,,,
1980-01-02,-3,4,51,,,
1980-01-03,-3,3,30,,,
1980-01-04,5,12,71,,,
1980-01-05,4,10,10,,,
1980-01-06,3,9,3,,,
1980-01-07,5,9,20,,,
1980-01-08,0,5,0,,,
1980-01-09,1,5,10,,,
1980-01-10,-2,4,76,,,
1980-01-11,-4,1,0,,,
1980-01-12,-2,0,0,,,
1980-01-13,-7,-2,0,,,
1980-01-14,-8,-1,0,,,
1980-01-15,-4,1,0,,,
1980-01-16,-6,1,0,,,
1980-01-17,-2,0,0,,,
1980-01-18,-4,0,0,,,
1980-01-19,-1,4,3,,,
1980-01-20,1,5,66,,,
1980-01-21,3,10,170,,,
1980-01-22,4,9,51,,,
1980-01-23,4,7,74,,,
1980-01-24,4,7,71,,,
1980-01-25,-1,3,0,,,
1980-01-26,1,3,0,,,
1980-01-27,-1,5,0,,,
1980-01-28,-2,4,0,,,
1980-01-29,-3,8,0,,,
1980-01-30,8,11,23,,,
1980-01-31,8,11,61,,,
1980-02-01,4,10,20,,,
1980-02-02,8,12,5,,,
1980-02-03,5,12,20,,,
1980-02-04,11,13,66,,,
1980-02-05,9,12,15,,,
1980-02-06,8,11,61,,,
1980-02-07,6,11,15,,,
1980-02-08,6,14,0,,,
1980-02-09,8,16,20,,,
1980-02-10,5,11,41,,,
1980-02-11,2,10,0,,,
1980-02-12,0,8,0,,,
1980-02-13,2,11,30,,,
1980-02-14,6,10,15,,,
1980-02-15,2,8,0,,,
1980-02-16,6,12,41,,,
1980-02-17,1,7,0,,,
1980-02-18,1,12,0,,,
1980-02-19,2,13,0,,,
1980-02-20,6,11,0,,,
1980-02-21,6,9,33,,,
1980-02-22,8,10,46,,,
1980-02-23,2,9,5,,,
1980-02-24,1,8,3,,,
1980-02-25,1,8,10,,,
1980-02-26,1,6,0,,,
1980-02-27,5,7,0,,,
1980-02-28,1,6,0,,,
1980-02-29,2,6,0,,,
1980-03-01,0,10,0,,,
1980-03-02,5,7,0,,,
1980-03-03,1,9,0,,,
1980-03-04,-2,8,0,,,
1980-03-05,-3,9,3,,,
1980-03-06,6,12,99,,,
1980-03-07,5,10,25,,,
1980-03-08,3,9,89,,,
1980-03-09,5,12,3,,,
1980-03-10,2,10,71,,,
1980-03-11,3,7,20,,,
1980-03-12,7,10,5,,,
1980-03-13,2,8,89,,,
1980-03-14,2,8,3,,,
1980-03-15,4,6,5,,,
1980-03-16,4,7,0,,,
1980-03-17,4,8,0,,,
1980-03-18,3,9,20,,,
1980-03-19,5,14,10,,,
1980-03-20,2,8,89,,,
1980-03-21,0,4,5,,,
1980-03-22,1,8,0,,,
1980-03-23,0,13,0,,,
1980-03-24,5,14,5,,,
1980-03-25,6,11,51,,,
1980-03-26,3,12,155,,,
1980-03-27,11,15,239,,,
1980-03-28,12,14,41,,,
1980-03-29,7,14,5,,,
1980-03-30,3,12,30,,,
1980-03-31,8,14,79,,,
1980-04-01,9,15,13,,,
1980-04-02,5,13,0,,,
1980-04-03,5,13,0,,,
1980-04-04,2,11,0,,,
1980-04-05,2,12,0,,,
1980-04-06,3,11,0,,,
1980-04-07,2,12,0,,,
1980-04-08,6,11,0,,,
1980-04-09,3,12,0,,,
1980-04-10,3,13,0,,,
1980-04-11,3,17,0,,,
1980-04-12,4,19,0,,,
1980-04-13,9,19,0,,,
1980-04-14,6,19,0,,,
