r,g,b
119,177,11
81,115,11
79,129,11
77,137,11
103,141,11
101,132,11
111,124,11
110,138,11
114,119,11
91,117,11
69,88,11
88,77,11
73,125,17
110,151,17
111,137,17
134,153,17
144,137,17
97,107,17
125,140,17
132,142,17
101,97,17
92,96,17
86,96,17
86,111,17
133,173,0
88,133,0
87,117,0
89,102,0
108,102,0
100,100,0
102,96,0
128,137,0
108,140,0
96,128,0
78,152,0
71,112,0
49,79,5
53,66,5
80,95,5
110,118,5
112,118,5
135,181,5
108,141,5
101,112,5
89,111,5
102,115,5
81,92,5
74,113,5
84,121,26
65,112,26
51,104,26
59,94,26
61,74,26
75,98,26
75,93,26
88,109,26
75,91,26
77,85,26
59,74,26
102,100,26
40,46,24
79,101,24
66,106,24
89,106,24
78,127,24
80,98,24
91,140,24
83,138,24
77,97,24
94,128,24
72,128,24
154,159,24
76,77,22
50,82,22
50,115,22
79,138,22
83,132,22
81,125,22
107,135,22
96,105,22
92,94,22
78,125,22
58,118,22
155,123,22
34,75,16
69,123,16
69,145,16
86,129,16
94,158,16
70,94,16
123,126,16
86,104,16
94,115,16
77,152,16
92,164,16
83,132,16
54,84,19
84,83,19
52,111,19
86,132,19
83,84,19
81,115,19
102,137,19
96,115,19
89,129,19
105,127,19
104,125,19
96,184,19
84,100,20
132,141,20
140,162,20
146,144,20
116,125,20
115,137,20
125,145,20
112,133,20
100,99,20
79,130,20
67,111,20
95,155,20
59,125,22
71,125,22
61,85,22
93,104,22
47,108,22
80,99,22
97,130,22
81,114,22
88,87,22
120,119,22
53,125,22
90,110,22
78,124,20
29,94,20
93,102,20
70,115,20
79,103,20
87,94,20
87,139,20
96,119,20
98,115,20
85,137,20
55,96,20
110,190,20
72,105,24
93,146,24
73,123,24
77,107,24
84,104,24
98,122,24
112,145,24
96,125,24
81,130,24
121,140,24
52,79,24
67,94,24
0,0,28
21,65,28
95,154,28
94,118,28
80,114,28
96,123,28
120,131,28
102,114,28
93,131,28
102,141,28
91,137,28
66,129,28
63,90,19
94,147,19
97,135,19
85,100,19
93,115,19
85,107,19
112,137,19
102,121,19
95,104,19
100,134,19
81,93,19
100,101,19
56,55,31
42,102,31
82,122,31
108,158,31
93,134,31
102,136,31
113,135,31
95,124,31
102,122,31
95,136,31
101,122,31
101,142,31
102,126,23
88,106,23
63,82,23
66,93,23
96,126,23
97,157,23
117,126,23
99,129,23
89,122,23
120,160,23
80,110,23
102,131,23
91,100,28
76,84,28
52,70,28
108,134,28
112,138,28
115,158,28
121,159,28
103,145,28
103,127,28
129,136,28
92,130,28
105,107,28
134,155,38
69,76,38
21,76,38
86,139,38
79,116,38
99,160,38
105,145,38
101,123,38
98,116,38
79,121,38
71,116,38
100,156,38
102,152,45
72,77,45
68,99,45
110,147,45
104,136,45
88,120,45
102,147,45
101,136,45
102,148,45
126,142,45
150,172,45
83,126,45
60,76,40
124,149,40
126,142,40
118,108,40
116,156,40
108,146,40
119,119,40
117,151,40
102,120,40
138,161,40
108,121,40
123,146,40
94,123,39
122,135,39
124,156,39
119,156,39
99,137,39
106,133,39
113,149,39
110,148,39
99,127,39
96,135,39
97,156,39
94,152,39
116,176,44
130,190,44
82,120,44
85,102,44
87,117,44
91,140,44
104,148,44
98,146,44
83,127,44
81,119,44
68,100,44
55,93,44
113,145,52
134,151,52
97,111,52
91,119,52
88,101,52
83,104,52
100,114,52
106,101,52
83,92,52
93,105,52
89,98,52
75,93,52
80,73,42
71,93,42
77,90,42
78,106,42
95,108,42
84,111,42
95,108,42
101,120,42
77,96,42
103,115,42
126,142,42
108,132,42
101,137,36
48,45,36
87,86,36
85,97,36
101,115,36
100,117,36
108,118,36
109,124,36
104,106,36
105,117,36
128,145,36
116,122,36
84,121,43
79,72,43
94,114,43
134,157,43
109,132,43
115,132,43
119,137,43
121,129,43
103,110,43
126,126,43
78,99,43
132,155,43
71,117,42
71,62,42
71,86,42
77,76,42
55,77,42
70,100,42
91,111,42
95,99,42
83,97,42
111,133,42
63,68,42
78,110,42
87,129,39
100,102,39
40,79,39
90,111,39
99,115,39
95,117,39
114,117,39
97,110,39
107,122,39
96,107,39
64,93,39
82,112,39
52,62,44
82,97,44
66,95,44
74,84,44
74,104,44
85,97,44
109,119,44
117,133,44
97,132,44
112,142,44
111,142,44
92,104,44
111,129,44
93,91,44
69,99,44
96,137,44
91,119,44
93,111,44
116,124,44
106,126,44
93,115,44
97,128,44
64,100,44
63,92,44
67,76,52
63,94,52
58,89,52
94,131,52
87,100,52
80,117,52
101,126,52
95,111,52
84,104,52
109,130,52
107,126,52
116,116,52
103,123,49
118,150,49
45,94,49
110,125,49
106,144,49
104,134,49
95,109,49
82,100,49
59,94,49
61,75,49
74,96,49
84,88,49
81,118,51
80,86,51
70,76,51
96,128,51
84,104,51
75,121,51
102,144,51
103,140,51
87,124,51
101,118,51
111,128,51
139,167,51
157,176,57
123,96,57
83,112,57
97,119,57
117,132,57
106,134,57
111,134,57
116,135,57
100,117,57
124,144,57
109,112,57
129,113,57
96,112,65
130,123,65
101,106,65
147,147,65
129,127,65
101,117,65
128,159,65
109,159,65
110,137,65
95,123,65
108,163,65
104,154,65
123,141,63
98,122,63
83,120,63
105,115,63
97,126,63
90,109,63
113,124,63
107,123,63
93,108,63
94,107,63
75,97,63
32,55,63
76,116,58
58,88,58
53,78,58
93,107,58
61,79,58
79,105,58
118,131,58
95,134,58
91,117,58
70,99,58
90,126,58
32,39,58
69,93,57
70,76,57
85,85,57
78,95,57
69,88,57
83,103,57
94,120,57
95,111,57
91,137,57
126,147,57
98,96,57
71,77,57
97,104,58
101,106,58
73,97,58
132,137,58
99,105,58
101,113,58
118,144,58
113,139,58
113,129,58
124,127,58
68,100,58
90,112,58
123,148,60
97,85,60
113,105,60
117,119,60
111,124,60
