r(max 100),g(max 100),b(max 100)
47,69,4
32,45,4
31,51,4
30,54,4
40,55,4
40,52,4
44,49,4
43,54,4
45,47,4
36,46,4
27,35,4
35,30,4
29,49,7
43,59,7
44,54,7
53,60,7
56,54,7
38,42,7
49,55,7
52,56,7
40,38,7
36,38,7
34,38,7
34,44,7
52,68,0
35,52,0
34,46,0
35,40,0
42,40,0
39,39,0
40,38,0
50,54,0
42,55,0
38,50,0
31,60,0
28,44,0
19,31,2
21,26,2
31,37,2
43,46,2
44,46,2
53,71,2
42,55,2
40,44,2
35,44,2
40,45,2
32,36,2
29,44,2
33,47,10
25,44,10
20,41,10
23,37,10
24,29,10
29,38,10
29,36,10
35,43,10
29,36,10
30,33,10
23,29,10
40,39,10
16,18,9
31,40,9
26,42,9
35,42,9
31,50,9
31,38,9
36,55,9
33,54,9
30,38,9
37,50,9
28,50,9
60,62,9
30,30,9
20,32,9
20,45,9
31,54,9
33,52,9
32,49,9
42,53,9
38,41,9
36,37,9
31,49,9
23,46,9
61,48,9
13,29,6
27,48,6
27,57,6
34,51,6
37,62,6
27,37,6
48,49,6
34,41,6
37,45,6
30,60,6
36,64,6
33,52,6
21,33,7
33,33,7
20,44,7
34,52,7
33,33,7
32,45,7
40,54,7
38,45,7
35,51,7
41,50,7
41,49,7
38,72,7
33,39,8
52,55,8
55,64,8
57,56,8
45,49,8
45,54,8
49,57,8
44,52,8
39,39,8
31,51,8
26,44,8
37,61,8
23,49,9
28,49,9
24,33,9
36,41,9
18,42,9
31,39,9
38,51,9
32,45,9
35,34,9
47,47,9
21,49,9
35,43,9
31,49,8
11,37,8
36,40,8
27,45,8
31,40,8
34,37,8
34,55,8
38,47,8
38,45,8
33,54,8
22,38,8
43,75,8
28,41,9
36,57,9
29,48,9
30,42,9
33,41,9
38,48,9
44,57,9
38,49,9
32,51,9
47,55,9
20,31,9
26,37,9
0,0,11
8,25,11
37,60,11
37,46,11
31,45,11
38,48,11
47,51,11
40,45,11
36,51,11
40,55,11
36,54,11
26,51,11
25,35,7
37,58,7
38,53,7
33,39,7
36,45,7
33,42,7
44,54,7
40,47,7
37,41,7
39,53,7
32,36,7
39,40,7
22,22,12
16,40,12
32,48,12
42,62,12
36,53,12
40,53,12
44,53,12
37,49,12
40,48,12
37,53,12
40,48,12
40,56,12
40,49,9
35,42,9
25,32,9
26,36,9
38,49,9
38,62,9
46,49,9
39,51,9
35,48,9
47,63,9
31,43,9
40,51,9
36,39,11
30,33,11
20,27,11
42,53,11
44,54,11
45,62,11
47,62,11
40,57,11
40,50,11
51,53,11
36,51,11
41,42,11
53,61,15
27,30,15
8,30,15
34,55,15
31,45,15
39,63,15
41,57,15
40,48,15
38,45,15
31,47,15
28,45,15
39,61,15
40,60,18
28,30,18
27,39,18
43,58,18
41,53,18
35,47,18
40,58,18
40,53,18
40,58,18
49,56,18
59,67,18
33,49,18
24,30,16
49,58,16
49,56,16
46,42,16
45,61,16
42,57,16
47,47,16
46,59,16
40,47,16
54,63,16
42,47,16
48,57,16
37,48,15
48,53,15
49,61,15
47,61,15
39,54,15
42,52,15
44,58,15
43,58,15
39,50,15
38,53,15
38,61,15
37,60,15
45,69,17
51,75,17
32,47,17
33,40,17
34,46,17
36,55,17
41,58,17
38,57,17
33,50,17
32,47,17
27,39,17
22,36,17
44,57,20
53,59,20
